0_x,0_y,1_x,1_y,2_x,2_y
1.940400,2.631781,0.157063,2.631781,1.176113,2.631781
3.468976,2.377030,3.468976,2.122279,3.723738,1.612778
6.526127,2.377030,3.723738,2.377030,5.252314,3.396033
6.780889,2.377030,7.035652,2.631781,7.290414,1.867529
10.092803,1.867529,7.545177,2.631781,9.073752,2.377030
11.621378,2.886532,10.347565,2.122279,10.092803,1.612778
13.659478,1.867529,12.130903,3.396033,13.659478,2.377030
15.188054,3.650784,14.169004,2.377030,14.169004,2.886532
17.480917,2.886532,16.207104,4.415036,16.971392,3.396033
19.264255,3.396033,17.990442,3.650784,19.009492,3.396033
20.283305,4.415036,20.538068,3.905535,20.792830,3.905535
23.595218,4.924538,21.047593,4.415036,22.576168,5.434039
23.849981,4.924538,24.359506,4.669787,24.359506,4.160285
26.907132,5.179289,25.378556,5.179289,26.652369,5.943541
28.945232,5.688790,27.161894,5.434039,27.926182,5.179289
30.728570,6.198292,29.454757,5.943541,30.983333,6.453042
33.021433,7.217295,31.492858,5.943541,31.238095,6.453042
34.550009,6.198292,33.530958,6.962544,34.295246,6.707793
37.097634,8.745799,35.059534,6.707793,35.314296,7.472045
37.352397,7.217295,37.607160,7.981547,38.626210,6.707793
40.919073,9.000550,38.371447,8.236298,39.390497,8.745799
41.428598,8.491048,41.683361,7.981547,41.683361,7.472045
44.740511,8.745799,41.938123,9.000550,44.485749,9.000550
45.250036,8.745799,45.504799,8.491048,44.995274,7.981547
48.561950,8.236298,46.778612,10.019553,47.288137,9.255301
49.835763,9.510051,48.816712,8.491048,48.561950,8.491048
51.619101,8.745799,50.345288,10.019553,52.128626,9.510051
54.166726,10.019553,52.383388,9.255301,53.147676,9.510051
54.676251,8.236298,54.166726,9.764802,54.931014,9.764802
58.242927,9.764802,55.695302,9.255301,56.969114,9.000550
58.752452,8.491048,58.497690,9.764802,58.752452,9.255301
61.554841,9.000550,59.007215,9.255301,61.300078,10.019553
63.083416,9.000550,62.319128,9.255301,62.573891,8.491048
64.866754,8.745799,63.083416,9.000550,65.631042,9.255301
66.904854,8.236298,65.631042,8.236298,65.885804,7.981547
68.688192,7.981547,67.159617,9.255301,68.942955,9.510051
70.726293,8.491048,69.452480,7.217295,69.962005,7.981547
72.254868,6.707793,71.745343,7.217295,72.000106,7.472045
75.057257,7.726796,73.528681,7.472045,74.038206,6.707793
75.821544,5.943541,75.821544,6.707793,76.331069,6.707793
79.388220,6.962544,76.585832,6.453042,77.859645,5.943541
79.642983,5.688790,80.152508,5.688790,79.897745,4.924538
82.954896,5.179289,80.152508,5.434039,81.935846,5.943541
83.973946,4.924538,83.464421,4.924538,83.719184,3.905535
86.012047,4.669787,84.738234,5.434039,85.502522,4.669787
87.795385,3.905535,87.031097,3.905535,87.031097,3.905535
90.088248,3.141282,88.559672,4.924538,90.088248,3.650784
91.616823,4.160285,90.597773,2.886532,91.107298,3.650784
93.654924,2.631781,92.381111,3.396033,94.164449,3.141282
96.202549,3.396033,93.909686,2.886532,94.419211,2.886532
96.712075,2.122279,96.966837,2.886532,96.966837,1.867529
99.259700,2.886532,97.476362,2.377030,99.004938,3.141282
100.533513,2.122279,100.788276,2.631781,100.788276,1.612778
104.100189,2.377030,101.552563,2.886532,102.571614,3.141282
104.609714,3.396033,103.845426,1.867529,104.609714,1.867529
107.157340,2.377030,105.628764,3.141282,107.412102,2.631781
109.450203,3.396033,107.921627,1.867529,107.921627,2.377030
110.978778,2.122279,109.704965,3.141282,110.978778,3.650784
113.016879,4.160285,111.488303,3.141282,111.743066,3.396033
114.545454,3.905535,114.035929,3.650784,115.054979,3.396033
117.347842,4.924538,114.800217,3.905535,116.074029,4.669787
117.857367,4.924538,117.347842,4.160285,118.112130,3.650784
121.169281,5.688790,119.131180,4.160285,120.150230,5.434039
121.678806,5.943541,121.169281,4.924538,122.443094,5.179289
125.245482,5.434039,123.207381,5.688790,123.971669,5.943541
126.264532,7.217295,124.990719,5.434039,124.990719,5.943541
128.047870,6.198292,127.283582,7.217295,128.302633,6.453042
129.576445,7.981547,128.302633,5.943541,128.812158,6.962544
131.869308,7.472045,131.359783,7.981547,132.124071,7.726796
134.671697,7.981547,132.124071,6.707793,132.378834,7.726796
134.926459,8.236298,134.926459,7.981547,135.181222,7.726796
138.238373,8.745799,135.690747,7.981547,137.219322,9.255301
139.002660,9.000550,138.493135,8.491048,139.002660,8.236298
141.295523,8.745799,140.276473,8.491048,140.785998,10.019553
143.078861,9.000550,141.805048,8.745799,142.824099,9.255301
144.862199,8.745799,143.843149,9.510051,145.626487,9.000550
147.664587,10.019553,145.626487,8.745799,145.881250,9.510051
148.428875,9.000550,147.664587,9.255301,149.193163,9.510051
151.740789,9.764802,149.702688,8.491048,149.957451,9.255301
151.995551,8.491048,152.250314,9.255301,152.505076,9.255301
155.816990,9.255301,153.014601,9.510051,154.288414,9.255301
155.816990,9.000550,156.326515,8.745799,156.071752,8.236298
158.364615,8.745799,156.581277,9.764802,158.109853,9.510051
159.893191,8.745799,159.638428,7.981547,159.383665,7.726796
162.186054,7.217295,160.912241,9.000550,162.186054,9.000550
163.969392,8.745799,162.950341,7.472045,162.950341,6.962544
166.262255,7.981547,164.478917,8.491048,166.517017,7.472045
167.790830,7.726796,166.517017,6.707793,167.281305,6.962544
169.319405,6.962544,168.300355,6.962544,169.574168,6.962544
172.376556,6.707793,169.828931,6.707793,171.102743,6.707793
172.886081,5.943541,172.886081,6.198292,173.140844,5.943541
175.688470,5.688790,173.395607,5.943541,174.924182,6.198292
176.707520,4.924538,176.707520,5.688790,176.452757,4.924538
179.255145,3.905535,177.471808,5.434039,179.509908,5.434039
181.038483,5.179289,179.764671,3.905535,180.019433,3.905535
182.821821,3.650784,181.548009,4.924538,183.331347,4.669787
184.859922,3.650784,183.586109,3.396033,183.586109,2.886532
186.133735,3.141282,185.624210,3.650784,186.388497,3.141282
189.190886,2.886532,187.407548,3.396033,187.407548,2.886532
189.445648,3.396033,189.955173,3.141282,190.209936,2.886532
193.012324,1.867529,190.464698,2.377030,191.738511,2.631781
193.776612,3.396033,194.031374,2.631781,193.521849,2.631781
196.324237,1.867529,194.031374,2.631781,195.814712,2.886532
197.852813,2.886532,197.343288,1.358027,197.088525,1.867529
200.145676,1.612778,198.617100,2.886532,200.145676,2.886532
201.929014,2.631781,200.655201,1.612778,200.909963,1.612778
202.693301,2.886532,202.438539,3.650784,203.967114,3.396033
206.005215,3.141282,204.221877,2.377030,204.731402,3.396033
206.769502,3.396033,205.750452,3.905535,206.769502,3.905535
210.081416,2.886532,207.533790,3.396033,208.807603,3.650784
211.100466,4.160285,210.590941,3.650784,211.100466,4.160285
213.138567,4.669787,211.864754,4.415036,212.629041,4.415036
214.921905,5.943541,214.157617,4.669787,214.667142,3.905535
217.214768,4.924538,215.686192,4.924538,216.450480,5.943541
219.507631,6.453042,217.469530,5.434039,218.488580,5.179289
219.762393,5.434039,218.998106,6.962544,220.781444,5.943541
223.329069,6.707793,221.290969,6.198292,221.290969,6.707793
223.838594,7.217295,223.838594,7.472045,224.348119,6.707793
227.150508,7.472045,224.348119,6.453042,225.367170,7.726796
227.405270,8.491048,227.660033,8.236298,228.933846,7.981547
230.207658,7.981547,227.914795,8.236298,228.933846,8.745799
231.990996,9.000550,230.971946,8.491048,231.481471,7.726796
234.029097,7.981547,232.245759,8.491048,233.264809,9.510051
235.557672,9.764802,234.538622,9.000550,235.302910,8.236298
237.341010,9.000550,236.321960,9.000550,237.341010,10.019553
240.143398,9.255301,238.614823,8.745799,238.105298,8.745799
240.652924,9.510051,240.652924,9.764802,241.671974,9.510051
243.964837,8.236298,241.162449,8.236298,242.436262,9.764802
244.474362,10.274304,244.729125,9.510051,245.748175,9.510051
246.767225,9.255301,244.983887,9.255301,245.748175,10.019553
248.550563,10.274304,248.295801,9.255301,248.550563,8.745799
250.588664,8.491048,248.550563,9.255301,250.333901,9.764802
253.645814,9.510051,251.862476,9.000550,251.862476,8.236298
254.410102,7.981547,253.391052,9.510051,253.900577,9.764802
256.957728,8.745799,255.174390,7.981547,256.193440,8.236298
257.467253,7.981547,256.957728,9.000550,258.995828,8.236298
260.779166,7.726796,258.741066,7.472045,258.995828,7.726796
261.288691,7.472045,260.779166,8.236298,262.052979,7.217295
263.581554,6.198292,261.798216,7.217295,262.817267,6.707793
265.619655,6.962544,265.110130,7.472045,265.874417,6.453042
267.402993,5.688790,265.364892,6.453042,266.383943,7.217295
269.441093,5.943541,269.186331,5.688790,268.676806,4.669787
270.969669,5.179289,269.950619,5.688790,270.714906,5.688790
273.772057,4.924538,271.479194,5.179289,272.753007,3.905535
274.281582,4.924538,273.517294,5.434039,274.281582,5.179289
273.517294,4.669787,274.536345,3.650784,273.262532,4.415036
269.950619,4.924538,272.243482,4.924538,271.733956,5.688790
268.931568,5.688790,269.695856,5.434039,268.167281,5.179289
266.383943,6.453042,267.148230,5.943541,266.129180,5.943541
263.836317,5.943541,264.600605,5.943541,263.836317,6.707793
261.543454,7.981547,263.326792,6.707793,262.052979,6.707793
259.250591,6.962544,259.760116,7.472045,259.760116,7.726796
257.212490,7.981547,258.741066,7.726796,256.702965,7.472045
254.155340,7.981547,255.683915,9.000550,254.919627,8.491048
253.136289,9.000550,253.900577,7.981547,252.372002,7.472045
249.569613,9.000550,251.862476,9.510051,250.843426,9.000550
248.805326,9.255301,249.314851,8.236298,247.786275,9.510051
245.493412,10.019553,247.531513,9.000550,247.021988,9.000550
243.710074,8.491048,244.474362,9.510051,243.455312,9.000550
241.417211,10.019553,243.455312,9.510051,242.945787,9.255301
239.888636,8.491048,240.398161,9.255301,239.379111,9.255301
237.341010,10.019553,238.614823,9.255301,237.850535,8.236298
