0_x,0_y,1_x,1_y
2.021638,-4.246490,0.238309,-4.755991
1.766877,-3.991739,1.257354,-3.736988
3.295445,-4.755991,2.531161,-4.755991
4.569251,-3.227487,3.550206,-3.482237
5.588297,-3.991739,4.314490,-3.991739
6.097819,-4.246490,5.333535,-3.482237
7.371626,-4.246490,6.352580,-5.010742
9.154955,-4.501240,7.371626,-4.246490
8.900194,-4.501240,7.626387,-4.246490
11.193045,-3.991739,10.174000,-5.265493
10.938284,-3.736988,10.174000,-3.991739
13.740658,-4.755991,12.466852,-4.755991
13.231136,-3.736988,11.957329,-3.736988
15.269226,-4.755991,14.250181,-5.265493
15.778749,-3.227487,13.995420,-3.736988
16.797794,-4.755991,15.778749,-4.246490
18.071601,-3.482237,16.797794,-3.482237
19.345407,-4.755991,18.071601,-4.755991
20.109691,-4.246490,19.090646,-3.991739
21.383498,-4.246490,20.364452,-3.736988
22.912065,-4.501240,21.383498,-4.246490
22.402543,-3.482237,21.383498,-4.246490
25.204917,-5.010742,23.931111,-3.991739
24.695395,-2.972736,23.676349,-3.482237
26.223962,-4.501240,25.714440,-4.755991
27.497769,-3.736988,26.223962,-3.482237
28.516814,-4.501240,27.243008,-4.501240
29.790621,-3.482237,27.752530,-4.501240
30.554905,-4.755991,29.281098,-5.010742
31.573950,-3.991739,30.300143,-4.246490
32.847756,-3.991739,31.573950,-4.246490
34.631086,-5.010742,33.102518,-3.991739
33.866802,-3.482237,33.357279,-4.246490
36.669176,-5.010742,35.395369,-3.736988
36.923937,-3.227487,35.140608,-3.227487
37.688221,-4.501240,36.669176,-5.010742
38.962028,-3.227487,36.923937,-3.227487
39.981073,-3.736988,38.962028,-4.755991
41.000118,-3.736988,39.981073,-3.227487
42.019163,-3.736988,40.745357,-4.246490
43.802493,-3.736988,42.019163,-3.736988
43.802493,-3.736988,43.038209,-3.482237
45.076299,-3.482237,44.566777,-3.227487
45.840583,-2.717985,44.312015,-3.227487
47.878674,-2.463234,46.859628,-2.972736
47.878674,-1.189480,46.604867,-1.698982
49.407241,-2.208483,49.152480,-2.972736
50.681048,0.339024,48.388196,-0.170477
51.445332,0.084273,50.171525,-0.679979
52.719138,2.122279,51.445332,1.867529
53.483422,3.905535,52.464377,1.612778
54.757229,5.179289,52.973900,3.396033
55.011990,6.962544,54.502468,5.434039
57.559603,8.236298,56.285797,7.217295
57.304842,10.783805,56.031035,9.255301
58.069126,11.548058,58.069126,9.255301
59.597694,14.350316,58.578648,12.821811
60.616739,14.350316,59.597694,13.331313
61.890545,17.407325,60.616739,15.114568
62.909591,18.426328,61.890545,16.388322
64.183397,19.445331,62.654829,18.171577
64.947681,21.228586,63.164352,19.954833
66.731010,22.757091,65.202442,20.973836
65.966726,23.776094,65.202442,22.502340
68.769101,25.304599,67.495294,24.030845
68.514339,27.087854,67.495294,24.795097
70.807191,27.087854,69.533385,26.323602
70.297669,29.890112,69.788146,28.361608
72.590520,29.890112,71.571475,28.106857
72.590520,32.437620,71.826236,30.909115
74.119088,32.182869,73.100043,31.163866
74.628611,35.494629,74.119088,33.456623
75.647656,35.749380,75.138133,34.475626
77.176224,37.277884,75.902417,36.004130
77.940508,38.806389,76.411940,37.277884
79.723837,40.589644,79.214314,38.551638
79.978598,42.372899,78.450030,39.825392
82.016689,42.882401,80.997643,41.099146
82.526211,45.175158,80.488121,43.901404
83.290495,45.429908,82.780973,43.391902
84.564302,47.977416,83.035734,46.703662
85.583347,47.977416,84.309540,46.703662
86.347631,49.505921,85.328586,49.251170
87.366676,50.779674,86.347631,49.760671
88.640483,53.072431,87.366676,51.034425
89.150005,53.327182,87.621437,52.562930
91.188096,54.600936,89.914289,53.581933
91.188096,55.874690,89.914289,54.855687
93.226186,56.893693,92.461902,55.619939
93.226186,58.422197,91.952380,57.657945
95.773799,58.676948,93.480948,57.403194
94.754754,61.224456,94.754754,59.950702
96.792845,61.224456,95.519038,59.695951
97.811890,62.752960,96.538083,61.224456
98.830935,64.026714,97.557128,62.498209
100.614264,65.045717,99.340458,63.771963
100.359503,66.064720,99.340458,64.790966
102.397593,66.574222,101.378548,66.319471
102.142832,69.376480,101.378548,67.847975
104.435684,69.121729,103.671400,67.593225
104.435684,71.669237,103.161877,70.140732
105.964252,71.923987,104.945206,70.904984
106.728536,74.471495,105.964252,72.433489
108.511865,75.235747,106.473774,73.707243
109.021387,76.509501,109.021387,74.471495
110.040433,78.038006,108.511865,76.509501
111.569000,78.547507,110.804716,77.783255
111.569000,80.076012,110.295194,79.821261
114.116613,81.349766,112.333284,79.821261
113.352330,83.387772,112.842807,81.859267
116.154704,83.387772,114.116613,82.114018
115.899943,84.661525,115.135659,83.387772
117.428510,85.171027,116.409465,84.406775
118.192794,87.463784,117.173749,85.425778
119.211840,87.973285,117.428510,86.954282
120.230885,88.737538,119.721362,87.463784
120.995169,88.992288,119.466601,88.482787
122.523737,90.266042,121.759453,88.482787
122.778498,91.030294,122.523737,91.030294
125.071350,91.794547,123.797543,90.266042
124.816588,93.323051,123.797543,92.304048
127.109440,92.558799,125.326111,92.558799
126.599918,95.361057,126.345156,94.342054
128.383247,94.851556,127.364201,94.342054
125.835634,95.615808,128.638008,95.870559
125.326111,93.323051,126.090395,95.106307
124.052304,93.323051,126.090395,93.577802
122.778498,90.520793,123.797543,92.558799
121.504691,90.266042,123.288021,91.539796
120.230885,89.247039,120.995169,91.285045
119.466601,87.973285,120.995169,88.737538
116.918988,87.209033,118.957078,88.737538
116.918988,85.680528,117.428510,86.954282
115.390420,85.425778,116.664227,86.444781
114.116613,82.623519,115.645181,84.916276
112.842807,82.368769,114.880897,83.642522
112.078523,80.585513,112.333284,82.368769
110.040433,79.566510,112.842807,81.095015
109.276149,78.292756,110.295194,79.821261
108.766626,77.019003,110.295194,77.528504
106.473774,75.745249,107.492819,77.783255
106.728536,73.961994,107.238058,74.726246
103.926161,71.923987,105.964252,74.726246
104.180922,69.631231,104.435684,71.669237
101.378548,69.631231,103.161877,70.904984
101.633309,67.083723,102.397593,69.121729
99.849980,66.828972,101.378548,67.593225
99.085696,64.281465,99.595219,66.828972
98.830935,63.262462,99.849980,64.790966
95.773799,62.498209,96.792845,63.771963
95.773799,60.205453,97.302367,61.733957
93.480948,60.714954,94.754754,61.224456
93.226186,57.912696,95.009515,59.441200
91.697618,58.167446,93.226186,59.441200
90.678573,55.619939,92.207141,56.384191
89.659528,55.619939,90.933334,56.638942
88.385721,52.817681,89.914289,53.836684
87.366676,52.053428,88.640483,54.346185
85.583347,51.034425,87.366676,52.053428
85.583347,49.505921,86.347631,51.034425
83.035734,47.977416,85.328586,49.505921
83.290495,46.194161,84.054779,47.977416
80.997643,45.429908,82.271450,46.448912
81.507166,43.137152,82.526211,45.429908
79.214314,42.627650,79.978598,44.665656
78.195269,39.825392,79.978598,41.353896
77.176224,39.315890,78.195269,41.353896
76.157179,36.513632,77.176224,37.787386
75.138133,36.004130,76.411940,37.532635
73.609566,33.456623,75.138133,35.749380
72.590520,32.437620,74.628611,34.730377
71.571475,31.163866,72.080998,32.692371
70.807191,29.890112,72.335759,31.163866
68.514339,27.852106,69.788146,30.399614
69.023862,26.833103,70.042907,28.106857
66.476249,26.068851,68.259578,27.342605
66.731010,23.266592,67.495294,24.795097
65.202442,23.266592,65.457204,24.540346
63.673875,20.464334,65.202442,21.992839
62.654829,19.954833,63.673875,21.738088
60.361978,17.662076,62.909591,18.935830
61.126262,16.133571,61.890545,18.171577
58.833410,14.605067,60.616739,17.152574
59.088171,13.331313,60.107216,15.114568
56.540558,11.802808,58.069126,13.840814
56.795319,9.000550,58.069126,10.783805
54.757229,8.236298,56.540558,10.019553
53.992945,5.434039,55.011990,6.962544
52.209616,4.924538,53.738184,6.453042
51.954854,2.631781,52.973900,4.415036
50.681048,0.848526,51.954854,2.886532
49.152480,-0.170477,50.681048,0.593775
48.897719,-0.934730,49.916764,0.339024
46.859628,-1.953733,48.133435,-0.679979
47.114390,-2.717985,47.369151,-1.698982
44.566777,-2.208483,45.585822,-2.208483
43.802493,-4.246490,45.840583,-2.717985
43.038209,-2.717985,43.802493,-3.227487
42.019163,-4.246490,42.783447,-4.246490
41.000118,-2.972736,41.509641,-3.482237
39.726312,-3.991739,41.254880,-4.501240
38.452505,-4.246490,39.981073,-3.227487
36.669176,-4.246490,38.707266,-4.755991
37.178699,-4.246490,37.942983,-4.501240
34.631086,-4.246490,36.669176,-3.991739
35.140608,-4.246490,36.159653,-3.991739
32.592995,-3.227487,33.612040,-3.736988
32.847756,-4.501240,34.376324,-3.736988
30.300143,-3.482237,31.828711,-4.246490
