0_x,0_y
1.512116,-5.010742
0.493070,-4.755991
3.295445,-4.755991
3.804967,-3.736988
4.314490,-4.755991
5.588297,-3.736988
6.352580,-4.246490
8.135910,-4.246490
8.390671,-4.246490
9.409716,-3.991739
9.919239,-3.482237
11.702568,-2.972736
11.702568,-2.972736
13.740658,-2.972736
13.485897,-1.444231
15.014465,-2.208483
16.288271,-0.934730
17.052555,-1.953733
18.071601,-0.170477
18.326362,0.084273
20.619214,0.593775
20.109691,1.358027
21.638259,0.848526
23.166827,3.650784
23.421588,3.396033
25.204917,4.160285
24.440633,5.179289
26.988246,6.198292
26.988246,6.707793
29.281098,7.981547
28.771575,9.510051
30.809666,9.510051
31.319189,11.548058
32.592995,11.293307
33.357279,13.331313
33.612040,14.095565
35.650131,14.859817
35.904892,16.133571
37.688221,16.643073
36.669176,18.935830
39.471550,18.171577
39.981073,20.719085
41.000118,20.719085
41.764402,21.992839
41.764402,23.266592
44.312015,24.030845
43.547731,25.559349
45.585822,25.814100
46.350106,28.106857
47.369151,27.342605
48.388196,28.871109
49.407241,28.871109
49.916764,30.909115
50.426287,31.163866
52.973900,32.182869
52.209616,32.182869
54.757229,32.692371
54.502468,34.985127
56.285797,33.456623
57.050081,34.985127
57.304842,34.985127
58.578648,35.749380
59.088171,35.494629
61.126262,35.494629
61.126262,37.532635
63.164352,36.004130
63.673875,36.004130
64.183397,35.494629
64.692920,37.277884
65.711965,36.513632
67.750056,37.023133
67.495294,37.787386
69.023862,37.023133
70.042907,39.061140
71.316714,37.787386
72.080998,38.551638
71.826236,39.315890
74.628611,39.825392
73.864327,40.334893
75.902417,40.589644
76.411940,42.627650
77.685746,41.863398
78.450030,43.391902
79.723837,43.646653
80.488121,44.665656
80.742882,46.194161
83.035734,46.703662
82.526211,48.486918
84.564302,47.722665
85.073824,50.270173
85.838108,49.760671
87.111915,52.053428
87.876199,52.562930
89.404767,54.600936
89.150005,55.365188
91.697618,56.129440
91.442857,57.403194
92.716664,57.403194
93.735709,60.205453
94.499993,59.950702
95.009515,61.733957
96.538083,62.498209
98.066651,64.281465
97.811890,65.809969
100.104742,66.574222
99.595219,67.338474
101.888071,67.593225
101.378548,70.650234
102.652355,69.885981
103.926161,71.669237
104.690445,71.414486
105.709490,73.452492
105.964252,74.216744
108.511865,74.471495
107.747581,75.745249
110.295194,74.980997
110.295194,76.764252
110.804716,76.764252
112.333284,77.273753
112.078523,77.273753
114.880897,78.038006
113.607091,79.311759
113.352330,76.764252
112.078523,78.292756
110.804716,76.764252
109.785671,76.764252
108.766626,76.254750
107.747581,74.980997
105.454729,74.216744
105.964252,73.452492
103.416639,73.197741
102.907116,70.650234
101.633309,71.414486
100.869025,68.357477
99.595219,67.593225
98.830935,66.574222
97.811890,65.555218
95.773799,64.281465
96.028561,63.007711
93.480948,60.969705
93.735709,59.186449
91.188096,59.186449
91.188096,56.893693
90.169051,56.384191
89.150005,53.836684
88.130960,53.327182
86.092870,52.308179
86.602392,51.034425
84.054779,49.760671
84.309540,48.486918
82.271450,48.232167
81.507166,46.448912
80.233360,46.448912
79.469076,44.920407
78.704792,43.901404
76.921463,42.882401
76.921463,41.353896
74.628611,42.118149
74.883372,40.334893
73.100043,40.589644
72.080998,38.296887
71.061953,39.315890
69.533385,38.042136
69.533385,37.787386
67.495294,37.023133
67.495294,36.513632
65.202442,37.023133
65.457204,35.749380
63.673875,37.023133
