0_x,0_y
0.493070,-5.520243
0.238309,-4.501240
1.512116,-5.774994
2.276400,-4.755991
3.295445,-4.501240
5.078774,-4.246490
4.314490,-4.501240
6.862103,-5.010742
7.116864,-3.991739
8.135910,-4.755991
9.154955,-3.227487
10.174000,-3.482237
11.193045,-3.736988
10.683523,-3.482237
13.485897,-2.972736
13.231136,-2.463234
15.269226,-2.208483
15.523988,-0.934730
16.797794,-1.953733
17.816839,0.848526
18.835885,0.593775
20.109691,1.867529
19.600168,2.377030
22.402543,3.905535
21.893020,5.434039
23.421588,5.688790
24.185872,7.981547
25.204917,7.981547
26.223962,9.255301
26.478724,11.293307
29.026337,12.567061
28.516814,13.331313
30.554905,14.350316
30.809666,17.152574
32.083472,16.897823
33.102518,19.700082
33.866802,20.464334
35.650131,22.247589
35.395369,23.521343
37.433460,24.030845
37.433460,26.323602
38.707266,26.833103
39.726312,27.342605
39.726312,29.380611
42.273925,30.144863
41.509641,30.399614
43.292970,30.144863
44.312015,32.437620
45.585822,31.928118
46.350106,33.201872
47.114390,33.456623
48.897719,33.711374
48.388196,33.966124
50.681048,34.730377
50.426287,35.494629
51.954854,34.475626
52.719138,36.258881
53.738184,35.239878
55.011990,35.749380
55.011990,36.004130
57.050081,36.258881
57.050081,36.258881
59.342932,36.004130
59.342932,37.532635
61.381023,36.004130
61.126262,37.532635
62.145307,36.513632
63.164352,38.042136
63.928636,37.532635
65.711965,37.787386
65.457204,38.296887
67.495294,38.551638
67.495294,39.315890
69.278623,38.551638
69.533385,40.080143
70.552430,39.825392
71.826236,40.844395
72.590520,41.608647
74.119088,42.372899
74.119088,43.137152
75.902417,43.901404
75.647656,45.684659
77.940508,44.920407
78.450030,46.958413
79.469076,46.703662
80.233360,47.977416
81.252405,48.741668
82.780973,49.505921
82.271450,51.289176
84.819063,51.543927
84.564302,53.327182
85.838108,53.327182
86.602392,55.874690
87.621437,56.129440
88.385721,56.893693
88.895244,58.167446
91.188096,59.441200
91.188096,60.205453
92.461902,60.714954
93.480948,62.752960
93.990470,64.026714
95.773799,64.790966
95.519038,66.319471
97.811890,67.338474
97.811890,69.121729
99.849980,68.866978
99.849980,71.159735
100.869025,70.650234
101.633309,72.942990
103.161877,72.433489
103.671400,73.961994
104.435684,74.726246
106.219013,74.471495
105.964252,75.745249
108.257103,75.490498
107.747581,77.528504
109.021387,75.745249
110.040433,77.783255
111.314239,76.764252
112.078523,77.528504
112.842807,77.019003
114.626136,78.038006
113.607091,77.783255
114.371375,77.019003
111.569000,78.547507
111.314239,76.509501
110.040433,77.783255
109.021387,76.254750
108.002342,76.509501
105.964252,76.000000
106.473774,75.745249
103.926161,74.980997
103.926161,73.961994
101.888071,74.216744
101.633309,71.923987
100.104742,71.923987
99.085696,70.395483
97.811890,68.866978
96.028561,68.102726
96.538083,66.828972
94.245231,66.064720
94.245231,63.007711
92.971425,63.262462
91.442857,60.714954
90.423812,60.969705
89.404767,58.931699
88.385721,57.657945
86.347631,56.384191
86.602392,54.855687
84.309540,54.855687
84.054779,52.562930
83.035734,52.817681
81.761927,49.760671
80.742882,49.760671
79.723837,48.741668
79.469076,47.467915
76.921463,46.448912
77.685746,45.175158
74.883372,45.939410
74.628611,43.646653
73.609566,43.137152
72.590520,42.118149
72.080998,41.863398
69.788146,40.589644
70.042907,40.334893
68.004817,40.334893
68.004817,38.296887
65.966726,39.315890
65.202442,37.787386
64.438159,38.296887
63.164352,37.277884
62.400068,37.532635
60.616739,36.768383
61.126262,36.768383
59.088171,37.532635
58.833410,35.749380
57.304842,37.023133
56.031035,35.494629
55.011990,36.768383
53.992945,36.258881
53.992945,36.513632
51.445332,35.494629
50.935809,34.985127
50.171525,35.749380
48.897719,33.966124
48.642957,34.985127
47.114390,33.456623
45.840583,33.966124
44.312015,33.456623
44.566777,33.201872
42.528686,32.182869
42.783447,30.654364
41.000118,30.399614
39.981073,29.125860
38.707266,29.380611
38.197744,27.342605
37.688221,26.068851
35.395369,25.304599
35.650131,24.030845
33.612040,23.011842
32.847756,20.464334
31.573950,20.209583
31.319189,17.152574
30.300143,16.643073
29.281098,15.369319
28.516814,13.840814
26.223962,12.057559
26.988246,10.019553
24.440633,10.529054
23.421588,7.726796
22.912065,8.236298
22.147781,5.943541
21.383498,4.669787
19.600168,3.396033
19.854930,2.631781
17.816839,2.122279
17.816839,0.084273
16.543033,0.593775
15.014465,-1.698982
14.250181,-1.444231
12.212091,-1.953733
13.231136,-3.482237
10.683523,-2.463234
10.683523,-3.991739
9.664477,-3.227487
8.645432,-4.246490
7.626387,-4.246490
5.843058,-4.501240
6.097819,-4.246490
3.550206,-3.991739
4.059729,-4.501240
1.766877,-4.246490
1.766877,-5.265493
0.493070,-3.991739
-0.525975,-4.755991
-1.290259,-5.010742
-3.073588,-5.010742
-2.564065,-6.029745
-4.092633,-5.010742
-5.621201,-6.284496
