0_x,0_y
0.238309,-4.755991
3.550206,-3.482237
6.862103,-4.755991
10.174000,-3.991739
12.466852,-3.482237
16.797794,-4.246490
19.090646,-3.991739
23.676349,-3.736988
25.969201,-3.991739
30.045382,-4.501240
32.592995,-3.227487
35.904892,-4.755991
38.962028,-2.972736
42.783447,-3.991739
46.604867,-0.679979
49.152480,0.848526
52.719138,6.453042
56.031035,10.783805
59.088171,15.114568
62.400068,18.935830
66.476249,23.266592
68.769101,27.597355
73.100043,30.909115
74.628611,34.730377
79.469076,39.061140
81.761927,44.665656
85.838108,47.722665
88.385721,52.562930
92.971425,55.365188
94.754754,60.460203
99.340458,63.262462
101.888071,69.121729
105.199968,72.688240
108.257103,78.292756
111.823762,80.330763
115.135659,83.897273
118.192794,86.954282
121.249930,88.992288
124.052304,91.539796
128.383247,94.342054
130.676098,97.399063
135.007041,100.201322
136.790370,102.748829
141.121312,105.551088
143.923686,109.881851
147.999867,111.410355
150.547480,115.995869
153.859377,117.524373
157.171274,122.109887
160.737933,124.147893
164.304591,127.969155
166.087920,131.026164
170.673624,134.337923
172.202192,137.394933
177.297418,140.197191
178.825986,144.527954
182.647405,145.801708
186.214063,150.132471
189.525960,151.660975
192.328335,155.482237
195.640232,158.029744
198.952129,160.832002
202.009264,163.889012
205.830684,167.200771
208.633058,170.003030
212.454478,173.060039
213.983046,176.117048
219.078272,178.919306
221.116363,181.466814
225.192543,184.269072
226.721111,188.090334
231.561576,190.383091
233.854428,194.204352
238.440131,195.732856
239.968699,200.063619
244.554403,201.592124
247.102016,205.668136
250.413913,207.196641
253.725810,211.782154
256.782946,213.310659
259.840081,216.877169
263.661501,219.679428
266.209114,222.736437
268.501966,225.793446
273.342431,227.576701
275.635282,232.162215
279.966225,233.945470
282.513838,238.276233
286.080496,239.804738
289.137632,244.135501
292.194767,245.154504
295.506664,249.740017
298.309039,251.523273
301.620936,254.580282
305.187594,257.127789
309.009014,260.184799
311.811388,263.496558
315.378046,266.298817
317.670898,269.355826
322.001840,272.158084
323.530408,274.960343
328.116112,277.253099
329.899441,281.074361
334.485144,282.857616
337.032757,287.443130
340.344654,288.971634
343.401790,293.047647
346.713687,295.085653
350.025584,298.652163
352.827958,300.180668
356.139855,303.492428
359.451752,306.549437
362.508888,309.096944
365.820785,311.899203
368.368398,314.956212
371.935056,317.758470
375.756476,320.560729
377.539805,322.853485
378.049328,325.146242
373.208863,323.108236
370.661250,317.503719
365.820785,315.210963
361.999365,310.625449
357.923185,308.587443
354.101765,303.492428
350.535107,300.944920
346.713687,297.633160
343.401790,294.830902
338.561325,291.264391
336.013712,287.697881
330.663725,283.876619
328.370873,280.819610
323.530408,278.017352
320.982795,273.431838
315.887569,271.139081
313.594717,266.808318
308.499491,264.260811
306.206639,259.930048
301.620936,257.892042
298.309039,253.561279
294.487619,250.759020
290.920961,247.447261
287.099541,244.390251
283.532883,241.333242
279.966225,238.276233
275.890044,234.709723
273.087669,231.143212
269.266250,228.086203
266.209114,224.519692
261.368649,221.462683
259.075797,217.641422
253.725810,214.584413
251.687719,212.036905
247.611538,208.725145
244.044880,204.139632
240.478222,202.356376
236.911564,197.770863
233.599667,195.478106
230.033008,192.421097
226.975873,189.109337
222.644930,186.052328
220.097317,182.485817
215.256852,179.683559
212.454478,176.117048
208.378297,173.060039
206.085445,169.748279
201.244981,166.691270
199.206890,162.870009
194.366425,160.322501
192.328335,156.501240
187.487870,154.717984
185.449779,150.387221
180.354553,149.113468
177.552179,144.527954
174.240282,142.235197
170.418862,137.904434
167.616488,135.866428
164.049830,131.280914
160.737933,128.223905
156.916513,124.657395
154.368900,121.345635
149.528435,118.033875
147.745106,114.467364
142.904641,111.410355
140.611789,108.098595
135.261802,106.060589
133.987995,101.220325
129.402292,99.437069
126.345156,95.106307
123.288021,93.577802
119.721362,89.247039
116.154704,88.228036
112.333284,83.897273
109.530910,81.604516
105.964252,78.292756
102.652355,73.961994
98.576174,69.376480
96.283322,64.281465
91.952380,60.205453
89.914289,56.384191
85.328586,52.817681
83.290495,47.467915
78.195269,44.665656
76.411940,38.806389
72.080998,35.494629
68.769101,29.380611
65.457204,26.578352
62.145307,21.738088
58.833410,18.171577
55.011990,13.840814
51.954854,10.019553
47.878674,4.924538
45.840583,0.848526
41.254880,-2.208483
38.962028,-3.736988
34.376324,-3.736988
32.338234,-4.501240
28.262053,-3.736988
25.969201,-4.501240
21.383498,-3.482237
18.326362,-4.246490
15.269226,-3.736988
11.702568,-4.246490
8.390671,-4.246490
4.059729,-4.246490
2.276400,-3.991739
-2.564065,-4.246490
-4.602156,-4.246490
-9.187859,-3.227487
-11.225950,-4.246490
-15.811653,-3.482237
-18.104505,-4.755991
-22.435447,-3.482237
-25.492583,-4.755991
-28.549719,-4.246490
-32.116377,-5.265493
-34.918751,-4.501240
-38.485410,-8.577252
-42.052068,-10.870009
-45.363965,-15.455523
-48.421101,-19.022034
-51.987759,-22.588544
-55.554417,-26.155055
-59.630598,-29.721565
-61.413927,-34.307079
-66.254392,-37.618839
-69.056767,-43.223356
-71.859141,-46.535116
-75.425799,-51.884882
-78.992458,-55.196641
-82.049593,-60.036906
-85.106729,-64.112918
-88.673387,-68.443681
-91.985284,-72.519693
-95.297181,-78.633711
-97.844794,-83.473976
-102.940020,-86.276234
-104.468588,-89.587994
-109.309053,-91.880751
-111.347144,-94.937760
-116.187608,-96.721015
-118.225699,-99.778024
-122.556641,-102.325532
-124.849493,-105.892043
-128.925674,-107.420547
-130.963764,-112.260812
-135.549468,-114.044067
-138.351842,-118.884331
-141.663739,-120.158085
-144.975636,-125.253100
-148.287533,-126.272103
-151.599430,-130.602866
-154.911327,-133.405125
-158.223224,-137.226386
-160.261315,-140.283395
-165.356541,-143.595155
-167.394631,-146.906915
-171.980335,-149.963924
-173.508903,-153.530435
-178.604129,-154.804188
-180.642219,-158.880200
-184.208877,-160.918207
-187.520774,-165.248969
-191.087433,-166.777474
-194.144568,-170.853486
-197.456465,-173.146243
-200.768362,-176.458003
-204.335021,-179.260261
-207.137395,-183.081523
-209.685008,-185.629030
-214.525473,-188.686039
-216.308802,-191.488298
-220.130222,-193.781054
-223.442119,-198.111817
-227.263538,-199.895073
-229.811151,-203.971085
-233.632571,-205.499589
-236.434945,-209.066100
-239.492081,-212.123109
-243.313501,-215.180118
-246.625398,-217.727626
-250.446817,-220.784635
-251.975385,-224.351146
-256.815850,-227.153404
-258.853940,-230.719915
-263.184883,-233.776924
-264.968212,-235.814930
-269.808677,-239.126690
-271.592006,-241.928948
-276.432471,-245.240708
-278.215800,-248.807218
-282.801503,-250.335723
-284.584833,-254.411735
-289.170536,-255.940240
-291.463388,-260.271003
-295.030046,-261.799507
-298.851466,-266.130270
-301.653840,-267.658775
-304.965737,-271.989538
-308.277634,-274.282294
-311.334770,-277.848805
-313.882383,-280.651063
-318.213325,-282.943820
-320.506177,-286.765082
-325.346642,-288.548337
-327.639493,-292.624349
-331.970436,-294.152854
-334.263287,-298.738367
-337.575184,-300.521623
-340.632320,-304.088133
-344.453740,-305.871389
-347.510875,-310.202151
-350.568011,-311.475905
-353.625147,-315.551917
-357.701328,-318.354176
-360.758463,-321.411185
-363.815599,-324.213443
-366.872735,-327.015702
-370.184632,-329.817960
-374.260813,-333.129720
-376.298903,-335.677227
-380.629845,-338.734237
-382.667936,-342.300747
-387.253639,-344.338753
-389.291730,-348.160015
-393.622672,-350.198021
-395.406001,-354.019282
-393.367911,-353.000279
-389.291730,-350.707522
-385.725072,-345.612507
-381.648891,-344.084002
-378.082232,-339.753240
-374.006051,-336.696230
-369.929870,-333.129720
-367.382257,-329.817960
-362.032270,-326.506200
-359.994179,-323.449191
-354.898953,-320.137431
-352.860863,-315.806668
-347.510875,-314.278164
-345.472785,-309.692650
-341.396604,-307.145142
-337.575184,-303.833382
-334.008526,-300.521623
-330.696629,-296.955112
-326.875210,-294.152854
-322.544267,-290.841094
-320.760938,-287.784085
-315.920473,-284.472325
-313.372860,-280.905814
-308.532395,-278.358307
-306.494305,-274.282294
-301.653840,-272.499039
-299.106227,-267.913525
-295.284807,-265.875519
-291.463388,-261.544756
-288.151491,-259.252000
-284.839594,-255.175987
-281.527697,-253.647483
-277.706277,-249.571471
-274.394380,-246.769212
-271.082483,-243.712203
-268.280109,-240.655194
-263.439644,-237.598185
-261.401554,-234.286425
-256.815850,-230.974665
-254.522998,-227.917656
-249.427772,-224.605896
-247.644443,-221.548887
-242.803978,-218.491878
-240.765888,-215.434869
-236.434945,-212.632611
-233.377810,-208.811349
-230.065913,-206.518592
-226.499254,-202.442580
-223.187357,-200.149823
-220.130222,-196.328562
-216.308802,-194.545307
-213.251666,-190.214544
-209.939769,-187.667036
-206.118350,-184.864778
-202.806453,-181.298267
-200.004078,-178.750760
-197.201704,-175.693751
-192.361239,-172.381991
-190.323149,-169.324982
-185.482684,-165.758471
-183.444594,-162.701462
-178.858890,-160.663456
-176.566038,-156.077942
-172.999380,-154.804188
-169.687483,-150.982927
-166.375586,-148.435419
-163.063689,-145.123659
-160.006553,-142.321401
-156.439895,-138.500140
-153.637521,-135.188380
-149.051817,-132.131371
-146.504204,-128.564860
-142.682784,-125.507851
-140.389933,-122.196091
-136.058990,-119.139082
-134.020900,-115.827322
-128.925674,-112.515562
-127.397106,-109.203802
-122.811402,-106.656295
-121.028073,-102.835033
-116.442370,-101.561280
-114.149518,-97.485267
-110.582860,-96.211514
-107.016201,-93.409255
-103.959066,-90.861748
-100.901930,-87.804739
-97.590033,-84.747730
-94.278136,-81.435970
-91.475762,-75.321951
-86.635297,-72.010192
-85.106729,-66.405675
-81.285309,-63.348666
-77.718651,-57.744149
-74.151993,-54.941891
-71.604380,-49.337374
-67.528199,-46.280365
-64.725824,-40.930599
-61.668689,-37.364088
-58.611553,-32.014322
-55.044895,-29.466815
-51.478236,-25.390803
-48.675862,-22.333793
-45.873488,-18.767283
-42.052068,-15.455523
-38.230648,-11.124760
-36.192558,-7.048748
-31.606854,-5.010742
-29.823525,-4.246490
-25.237822,-4.246490
-23.454493,-3.482237
-18.614028,-5.010742
-16.830699,-3.227487
-12.754518,-4.501240
-9.187859,-3.482237
-6.130724,-3.991739
-3.073588,-3.991739
-0.780736,-4.246490
4.059729,-3.991739
6.862103,-3.736988
10.428761,-3.482237
12.976374,-3.991739
17.307317,-5.265493
19.090646,-3.227487
24.185872,-3.736988
25.969201,-3.482237
30.554905,-4.755991
32.847756,-3.227487
36.414415,-4.755991
39.726312,-3.227487
42.783447,-3.736988
46.095344,-0.934730
49.152480,1.358027
52.719138,6.453042
56.285797,11.293307
60.107216,15.114568
62.145307,19.954833
66.221488,23.011842
68.769101,27.852106
73.354804,30.399614
75.647656,36.258881
79.469076,39.315890
82.526211,44.920407
85.583347,47.467915
88.895244,52.817681
91.952380,56.384191
95.264277,59.950702
98.576174,63.007711
101.888071,69.376480
105.199968,73.707243
108.257103,77.528504
111.569000,81.349766
115.645181,83.897273
117.428510,86.190030
122.014214,88.992288
124.307066,92.304048
128.638008,94.596805
130.676098,97.908565
135.516563,99.691820
137.554654,103.003580
140.866551,105.296337
143.923686,110.136601
147.490345,112.684109
150.802242,115.486367
153.349855,118.543376
157.935558,121.855136
159.718887,124.912145
164.049830,128.223905
166.342681,131.535665
170.673624,133.828422
172.711714,139.178188
177.297418,140.451942
179.590269,144.527954
183.156928,146.056458
185.959302,150.387221
189.780722,151.915726
192.583096,155.736987
195.640232,158.284495
199.206890,160.832002
202.264026,164.143762
206.085445,167.200771
208.123536,170.003030
212.709239,172.550537
214.492569,176.117048
218.313988,179.174057
220.861601,182.740568
224.683021,184.014322
227.740157,188.599835
231.052054,190.128340
234.618712,194.459103
237.930609,196.751860
240.987744,199.299367
244.554403,202.611127
247.102016,205.413385
249.649629,208.470394
254.490094,211.017902
256.273423,213.820160
260.604365,216.622419
262.642456,219.934179
267.228159,222.481686
269.011488,226.812449
273.342431,228.340954
276.144805,232.416966
279.201941,233.945470
282.513838,238.276233
286.335257,240.314239
288.882870,243.625999
292.194767,246.428258
296.270948,248.975765
298.563800,251.778024
302.639981,254.835033
304.168549,257.892042
309.009014,260.694300
311.047104,264.006060
315.378046,265.534565
317.416137,269.865327
322.001840,272.158084
323.785169,275.724595
328.116112,276.998349
330.154202,281.583862
334.994667,283.112367
337.287519,286.933628
340.344654,288.971634
343.656551,292.792896
346.968448,294.830902
349.770823,298.397412
352.318436,300.944920
357.158901,303.492428
358.687468,306.294686
363.273172,308.077941
365.056501,312.663455
369.896966,314.191960
371.425534,318.267972
375.246953,319.541725
378.049328,324.127239
377.794567,325.146242
373.718386,322.853485
369.642205,318.267972
365.820785,314.701461
362.254127,310.880200
358.177946,308.587443
353.847004,304.511431
350.025584,300.944920
346.968448,297.378409
342.382745,294.321400
338.306564,291.264391
335.758951,287.443130
330.918486,284.895622
328.116112,280.055358
323.785169,278.017352
320.473272,273.177087
315.887569,271.139081
312.575672,266.298817
308.754252,264.006060
305.187594,260.694300
301.111413,256.873039
298.054277,253.816030
294.487619,250.504270
289.901915,247.702011
287.863825,244.135501
282.768599,241.842744
280.220986,238.021483
275.380521,235.219224
273.597192,230.633710
268.501966,228.340954
265.699591,223.755440
260.859126,221.972185
258.056752,217.131920
254.235332,215.348665
250.923435,211.272653
247.356777,208.215644
244.044880,205.668136
240.478222,202.356376
236.147280,198.280364
234.109189,195.478106
229.268724,192.421097
227.230634,189.364087
222.390169,186.052328
219.587795,182.231066
215.256852,180.193060
213.218762,176.371799
208.633058,173.569540
205.830684,169.748279
200.990219,166.946021
199.206890,162.870009
194.621187,160.577252
191.564051,156.246489
187.997393,154.463233
183.666450,151.151474
180.864076,147.584963
177.042656,144.782705
175.259327,141.470945
169.909340,139.178188
168.126011,134.847425
163.030784,131.280914
160.737933,127.204902
157.171274,125.421647
154.114139,120.326632
150.292719,118.288626
146.980822,113.957863
143.668925,111.919857
139.847505,107.843845
136.026086,105.805838
132.459428,101.475076
130.166576,98.672817
125.580872,95.615808
123.542782,93.068300
118.957078,90.520793
116.664227,87.463784
111.823762,85.680528
110.040433,80.840264
105.199968,78.292756
102.907116,73.961994
98.576174,69.631231
96.538083,63.262462
92.461902,60.969705
88.640483,55.619939
85.583347,52.308179
82.016689,47.977416
78.704792,43.646653
75.647656,39.315890
72.080998,34.475626
68.004817,30.399614
66.221488,26.323602
61.381023,21.738088
59.342932,18.426328
54.757229,14.859817
52.719138,8.745799
47.878674,5.434039
44.821538,-0.425228
41.254880,-1.953733
38.452505,-4.246490
35.140608,-3.736988
31.319189,-4.501240
28.516814,-4.246490
25.204917,-5.010742
21.893020,-3.227487
18.071601,-5.265493
15.014465,-4.246490
11.702568,-3.991739
8.135910,-3.736988
4.059729,-4.246490
2.021638,-4.246490
-2.564065,-3.736988
-4.347394,-3.482237
