0_x,0_y
3.214213,2.122279
5.252314,1.358027
7.035652,1.358027
9.583277,1.612778
12.895191,1.612778
15.697579,1.867529
17.480917,1.867529
20.792830,3.650784
22.576168,2.631781
26.397607,4.924538
26.907132,3.905535
30.473808,5.943541
32.766671,5.943541
35.569059,6.198292
37.861922,7.472045
40.664310,7.981547
44.230986,7.726796
46.014324,8.236298
48.307187,8.745799
50.345288,7.981547
53.911964,9.764802
56.459589,8.236298
58.752452,8.745799
60.790553,8.491048
65.376279,8.491048
66.395329,7.726796
69.197718,7.472045
70.726293,6.962544
75.312019,5.688790
76.585832,6.707793
78.878695,4.669787
81.681083,5.434039
84.992997,3.396033
86.776335,3.905535
89.323960,2.631781
92.635873,2.377030
94.673974,2.377030
97.985887,1.612778
99.004938,1.612778
102.826376,0.848526
105.119239,2.122279
108.685915,0.848526
109.450203,2.886532
113.016879,1.612778
115.309742,3.396033
117.857367,3.650784
119.640705,4.924538
122.697856,4.160285
126.264532,5.179289
126.774057,5.688790
130.595496,6.707793
132.378834,6.707793
136.709797,7.472045
137.728847,7.472045
140.531236,8.745799
143.588386,8.745799
146.136012,8.491048
147.664587,9.255301
150.721738,8.236298
154.288414,9.510051
156.581277,7.472045
158.364615,8.491048
159.893191,7.726796
164.224154,7.472045
165.243204,6.707793
168.555118,6.707793
170.083693,5.943541
174.924182,4.160285
175.943232,5.179289
178.236095,4.160285
180.783721,3.905535
184.095634,2.377030
186.643260,3.141282
187.407548,1.358027
192.248036,2.377030
193.776612,0.848526
196.833762,1.867529
197.598050,1.358027
201.674251,1.358027
204.221877,1.612778
205.750452,1.867529
208.298078,2.377030
211.609991,3.141282
214.667142,4.415036
216.450480,3.650784
219.507631,5.434039
221.036206,4.669787
224.602882,7.217295
225.367170,6.198292
229.188608,8.236298
231.990996,8.236298
234.029097,8.236298
235.557672,9.255301
239.124348,7.726796
242.181499,9.255301
244.474362,7.981547
246.002937,9.255301
249.314851,7.981547
252.117239,9.000550
254.919627,7.981547
256.448203,8.491048
258.741066,6.962544
262.817267,6.962544
263.581554,6.453042
266.129180,5.688790
269.695856,5.179289
273.007769,3.905535
274.281582,4.415036
276.829208,2.631781
279.631596,3.396033
282.688747,1.358027
284.217322,2.122279
286.000660,0.848526
290.586386,2.122279
291.350674,0.848526
295.172112,1.358027
295.681638,1.358027
300.267364,1.867529
301.286414,2.631781
304.853090,2.122279
304.853090,3.141282
302.814989,2.886532
298.993551,2.886532
295.681638,1.358027
292.369724,1.612778
290.076861,0.848526
287.783998,1.867529
282.943509,1.612778
281.414934,2.122279
277.083970,2.886532
275.810158,3.141282
270.714906,4.160285
269.441093,3.905535
266.638705,5.943541
263.072029,5.179289
259.505353,7.217295
256.957728,6.707793
254.664865,8.491048
250.333901,7.472045
248.041038,9.000550
245.238650,9.000550
243.710074,8.745799
238.869586,9.000550
237.341010,8.236298
234.538622,8.236298
232.500522,8.236298
228.169558,8.236298
225.367170,6.707793
223.074307,6.962544
220.271918,5.179289
216.705243,5.688790
214.412379,3.905535
211.864754,3.905535
208.298078,2.122279
206.005215,2.886532
201.929014,1.867529
201.164726,1.867529
197.088525,1.103276
194.795662,0.848526
190.974223,2.377030
189.445648,0.848526
186.643260,2.886532
183.076584,1.867529
180.528958,3.905535
178.745620,2.886532
175.178944,4.415036
172.121794,4.924538
170.593218,5.943541
167.281305,6.198292
164.733679,6.707793
160.402716,7.472045
159.128903,7.726796
156.071752,9.000550
153.014601,8.236298
150.212213,9.510051
147.919350,8.236298
145.626487,8.745799
142.314574,7.726796
139.512185,9.000550
136.455035,7.981547
135.435984,7.472045
130.595496,7.472045
129.576445,6.453042
125.755007,5.943541
123.716906,5.179289
120.404993,4.924538
118.366893,3.905535
115.564504,3.396033
111.997828,1.867529
110.214490,3.141282
106.902577,1.358027
105.119239,2.377030
102.316851,1.358027
99.769225,1.358027
96.202549,1.612778
95.183499,1.612778
91.107298,1.867529
89.069198,2.631781
85.502522,3.396033
83.973946,2.886532
80.916796,5.434039
77.604882,4.415036
75.566782,6.453042
73.019156,5.688790
70.726293,7.726796
66.140567,6.962544
65.885804,8.745799
61.809603,8.236298
60.026265,8.491048
55.695302,8.745799
54.931014,9.000550
51.873863,8.491048
48.816712,9.000550
45.759562,9.000550
43.976224,7.472045
41.938123,8.491048
37.607160,6.962544
36.588109,7.472045
33.021433,5.434039
31.492858,6.707793
26.652369,5.179289
26.142844,4.160285
22.830931,3.650784
21.047593,3.141282
16.716629,2.886532
14.678529,1.867529
12.385666,2.377030
8.309465,1.103276
7.035652,2.122279
3.978501,0.593775
2.449926,2.377030
-1.881038,1.103276
-3.664376,2.122279
-5.702476,2.631781
-9.014390,2.631781
-11.816778,3.650784
-14.109641,4.415036
-16.402504,4.669787
-18.950130,5.688790
-22.007281,6.962544
-24.554906,5.688790
-26.338244,7.981547
-30.923970,6.962544
-32.197783,8.491048
-35.764459,7.726796
-36.528747,8.491048
-40.859710,7.981547
-43.662099,8.491048
-45.445437,9.000550
-47.993062,8.491048
-50.795450,8.491048
-54.107364,7.981547
-56.400227,8.236298
-58.438327,6.707793
-60.985953,6.962544
-65.316917,5.179289
-65.826442,6.198292
-69.647880,3.905535
-71.431218,4.160285
-75.762182,3.396033
-76.526469,2.886532
-78.819333,2.122279
-82.386008,1.867529
-85.188397,1.612778
-87.481260,1.103276
-89.009835,1.867529
-93.595561,0.339024
-94.359849,1.867529
-97.926525,1.358027
-99.200338,2.886532
-104.040826,1.867529
-104.805114,3.396033
-108.626553,4.160285
-110.155128,4.669787
-113.976566,4.924538
-115.759904,5.688790
-117.798005,6.453042
-120.600393,6.962544
-123.912307,7.981547
-126.714695,7.726796
-127.988508,9.000550
-131.809946,7.981547
-133.848047,9.510051
-137.414722,7.981547
-137.669485,8.745799
-142.255211,8.491048
-144.038549,8.491048
-146.840937,8.236298
-148.879038,7.472045
-152.190951,7.472045
-154.993339,6.962544
-157.286202,6.962544
-159.069540,4.924538
-161.617166,5.434039
-165.948130,3.650784
-166.202892,4.669787
-170.024331,2.886532
-172.062431,3.396033
-175.883870,1.867529
-176.902920,1.612778
-179.960071,1.612778
-183.017222,0.848526
-185.310085,1.358027
-187.348185,1.867529
-189.386286,2.122279
-192.952962,1.358027
-196.010112,2.886532
-197.538688,2.886532
-200.086313,3.650784
-203.907752,3.905535
-205.436327,4.669787
-208.238715,5.179289
-210.022053,5.688790
-214.098254,6.453042
-215.881592,7.217295
-218.938743,8.236298
-220.722081,7.217295
-224.033994,9.000550
-226.072095,7.726796
-228.110195,9.000550
-230.657821,7.726796
-234.479260,9.000550
-236.772123,7.981547
-238.045935,9.000550
-241.867374,7.981547
-244.669762,7.981547
-246.453100,7.217295
-249.000726,6.453042
-252.057877,6.453042
-254.860265,5.688790
-256.643603,4.415036
-258.936466,3.650784
-262.248379,4.160285
-265.305530,2.122279
-266.069818,2.886532
-270.400781,0.848526
-272.438882,2.377030
-275.750795,1.867529
-277.279370,0.848526
-280.081759,1.103276
-283.138909,1.612778
-285.431773,1.612778
-287.469873,2.631781
-290.272261,3.141282
-293.584175,2.377030
-295.112750,4.415036
-298.424663,3.396033
-300.462764,5.688790
-304.538965,4.924538
-300.972289,5.688790
-298.424663,4.924538
-294.603225,4.160285
-293.074649,3.905535
-288.998448,2.377030
-285.431773,2.122279
-283.138909,1.612778
-281.100809,2.122279
-277.279370,0.084273
-273.457932,1.867529
-272.693644,1.358027
-268.872206,2.122279
-266.834105,1.612778
-262.248379,2.631781
-260.719804,3.650784
-258.172178,4.160285
-254.350740,4.669787
-251.548351,5.943541
-249.255488,6.962544
-246.198338,5.943541
-242.122137,7.981547
-240.593561,7.472045
-237.536410,9.000550
-236.262598,7.981547
-231.167346,8.491048
-229.638771,9.000550
-227.345908,8.745799
-224.288757,8.236298
-220.722081,7.981547
-218.429218,7.726796
-216.136355,6.962544
-213.588729,7.726796
-210.022053,5.943541
-207.729190,5.943541
-206.200615,4.924538
-201.869651,4.669787
-199.831551,3.396033
-195.755350,3.396033
-194.991062,3.396033
-190.914861,2.122279
-188.112473,2.377030
-185.819610,0.848526
-183.526747,2.377030
-180.724358,0.339024
-177.412445,1.358027
-174.610057,1.612778
-172.317194,1.867529
-170.024331,2.377030
-166.202892,3.141282
-165.183842,3.650784
-161.617166,3.396033
-160.343353,5.943541
-156.267152,4.415036
-154.483814,6.962544
-151.426663,6.198292
-148.624275,7.726796
-145.567125,7.472045
-143.783787,8.236298
-142.000449,8.745799
-137.159960,8.745799
-135.886147,8.491048
-132.574234,9.000550
-131.555183,8.745799
-126.714695,7.726796
-125.695644,8.745799
-123.148019,6.707793
-120.345631,7.981547
-117.288480,6.198292
-114.486092,6.707793
-112.957516,5.688790
-108.626553,5.179289
-107.097977,4.160285
-103.786064,3.396033
-103.021776,3.396033
-98.436050,2.886532
-96.652712,3.141282
-94.359849,1.103276
-92.066986,2.631781
-88.755073,0.593775
-85.952684,1.867529
-83.914584,1.867529
-81.366958,1.867529
-78.564570,1.867529
-74.743132,2.377030
-74.743132,2.886532
-69.902643,3.905535
-68.628830,4.924538
-65.826442,4.160285
-64.043104,5.943541
-60.476428,5.688790
-57.419277,7.217295
-55.126414,6.707793
-53.343076,7.726796
-51.050213,7.981547
-46.719249,8.491048
-46.209724,9.000550
-42.388286,8.491048
-41.114473,9.764802
-36.273984,7.981547
-35.000171,8.236298
-32.962071,7.726796
-29.904920,8.745799
-27.357294,7.217295
-24.809669,7.726796
-23.535856,6.707793
-18.695367,6.198292
-17.421554,5.688790
-13.854879,4.924538
-13.345353,3.905535
-8.759627,3.141282
-6.976289,3.396033
-4.938189,2.122279
-2.390563,3.141282
1.176113,1.103276
3.978501,2.122279
4.997551,0.848526
8.818990,2.122279
10.857090,1.103276
14.678529,1.612778
14.933291,2.377030
19.519017,2.631781
21.047593,3.650784
25.378556,2.377030
25.888082,4.924538
28.945232,3.905535
31.747621,5.943541
33.785721,5.688790
36.078584,7.472045
38.880972,7.217295
42.957173,7.472045
43.466699,8.236298
47.288137,8.236298
48.816712,8.491048
53.402439,8.745799
53.911964,9.510051
57.223877,7.981547
60.281028,9.510051
63.083416,7.981547
64.866754,9.255301
67.414380,7.726796
70.216768,7.217295
72.509631,6.962544
75.566782,6.198292
77.095357,5.688790
81.426321,4.415036
82.954896,4.160285
86.266809,2.886532
87.795385,3.141282
91.616823,2.631781
93.145399,2.631781
95.438262,1.358027
98.750175,2.122279
100.788276,0.848526
104.609714,2.122279
104.864477,0.848526
109.450203,1.612778
111.233541,2.122279
114.545454,2.377030
115.054979,2.886532
119.385943,3.650784
121.424043,4.924538
123.716906,4.160285
125.755007,6.453042
129.066920,5.688790
132.124071,6.453042
134.162172,6.962544
136.709797,7.726796
138.493135,7.981547
142.314574,8.236298
143.588386,9.000550
146.645537,9.000550
148.428875,10.019553
151.995551,8.236298
154.033652,9.510051
156.326515,7.472045
159.638428,9.000550
162.440816,6.962544
164.224154,7.217295
166.517017,7.217295
170.593218,6.453042
171.612269,5.434039
174.414657,4.924538
176.707520,4.415036
180.783721,4.160285
182.057534,3.905535
184.095634,1.867529
187.152785,2.886532
189.955173,1.103276
192.502799,1.867529
193.267087,0.848526
198.107575,2.122279
199.890913,1.103276
202.693301,2.377030
204.731402,2.122279
207.533790,2.377030
210.590941,3.141282
211.864754,3.141282
214.157617,3.650784
217.469530,3.905535
220.017156,5.688790
221.545731,4.924538
225.367170,6.962544
227.150508,6.453042
230.462421,7.981547
231.481471,7.217295
235.048147,8.236298
237.086248,8.491048
240.143398,9.000550
242.436262,8.745799
244.983887,8.745799
248.041038,9.510051
250.079138,7.981547
252.881527,9.255301
254.410102,7.217295
258.995828,7.981547
259.760116,6.198292
263.326792,6.453042
264.600605,5.943541
268.931568,5.179289
270.205381,4.415036
272.753007,4.415036
275.810158,3.396033
278.612546,2.886532
280.650646,3.396033
282.688747,1.612778
287.019710,2.377030
287.783998,0.593775
291.095911,2.122279
291.860199,1.103276
296.191163,1.612778
297.210213,1.867529
301.031651,2.122279
301.541177,2.631781
306.126903,2.122279
304.598327,3.905535
300.776889,1.867529
297.974501,2.886532
295.172112,0.848526
292.369724,1.867529
288.548286,1.612778
286.510185,1.358027
282.688747,2.122279
280.905409,2.631781
275.555395,2.886532
274.026820,3.396033
270.460144,4.669787
267.657755,4.415036
264.345842,6.198292
261.798216,5.943541
259.760116,7.217295
255.938677,6.707793
253.645814,8.745799
249.824376,7.472045
248.550563,9.000550
243.455312,7.981547
241.671974,8.745799
238.105298,8.491048
235.557672,8.745799
232.755284,7.981547
229.698133,8.236298
227.405270,7.726796
224.093357,5.943541
221.800494,6.198292
218.743343,4.924538
217.214768,5.943541
212.629041,3.141282
210.336178,3.650784
207.024265,3.141282
205.750452,2.377030
201.674251,1.612778
198.617100,1.867529
196.069475,1.867529
193.776612,1.103276
190.719461,1.358027
187.662310,1.103276
185.878972,3.141282
183.076584,1.867529
180.019433,3.141282
176.197995,3.905535
175.178944,4.415036
171.357506,5.434039
169.574168,6.198292
164.733679,6.198292
164.224154,6.453042
160.912241,8.236298
157.855090,6.962544
154.543177,9.000550
152.505076,7.726796
149.702688,9.510051
146.645537,7.981547
144.097912,9.510051
140.785998,7.726796
140.276473,9.000550
135.945509,7.981547
133.907409,7.472045
130.850258,6.962544
128.302633,6.198292
124.735957,5.688790
122.697856,4.924538
119.895468,4.160285
117.857367,2.886532
114.290691,3.396033
111.233541,2.377030
109.195440,2.122279
105.628764,1.867529
104.100189,1.867529
100.278750,1.103276
99.514463,1.103276
95.693024,2.377030
93.400161,1.867529
89.833485,2.886532
88.304910,2.122279
85.247759,3.905535
81.681083,3.396033
79.897745,5.179289
77.350120,4.924538
75.057257,6.198292
70.726293,5.434039
70.216768,7.981547
65.885804,7.217295
64.611991,7.981547
60.026265,8.236298
59.516740,8.236298
55.950064,9.255301
53.402439,8.236298
49.835763,9.255301
48.052425,8.236298
45.759562,9.510051
42.447648,8.236298
40.409548,7.981547
37.352397,7.472045
36.078584,6.707793
31.492858,5.943541
30.219045,5.434039
26.652369,5.943541
25.888082,3.396033
21.302355,4.415036
18.754730,2.377030
16.971392,2.631781
13.659478,1.358027
11.111853,1.867529
7.799939,1.358027
7.290414,1.612778
2.449926,0.848526
0.921350,1.358027
-3.154851,2.122279
-4.173901,2.377030
-7.485814,2.886532
-10.542965,3.396033
-12.326303,3.650784
-14.364404,3.905535
-17.676317,5.943541
-20.733468,4.924538
-21.752518,6.962544
-26.083482,6.198292
-27.866820,8.491048
-32.197783,7.217295
-32.962071,8.236298
-36.273984,8.491048
-39.331135,8.745799
-42.643048,9.510051
-43.662099,8.236298
-46.209724,9.255301
-49.266875,7.981547
-52.324026,8.745799
-54.362126,7.726796
-56.654989,7.217295
-59.966903,6.707793
-61.495478,6.453042
-65.062154,5.434039
-66.335967,5.179289
-70.921693,4.160285
-72.450268,3.905535
-75.762182,3.905535
-78.055045,1.358027
-81.112196,2.631781
-83.659821,1.103276
-84.933634,2.377030
-87.990785,1.358027
-91.302698,1.867529
-94.359849,1.612778
-94.869374,2.122279
-99.200338,2.122279
-100.983676,2.122279
-104.550352,3.141282
-105.314639,2.631781
-108.881315,4.924538
-111.683703,3.905535
-114.231329,6.198292
-116.269430,5.688790
-119.326580,7.472045
-122.383731,6.453042
-123.402781,7.472045
-127.478982,7.981547
-129.007558,7.726796
-133.593284,8.236298
-134.612334,8.745799
-137.669485,8.745799
-140.471873,8.745799
-143.274261,7.981547
-145.057599,7.981547
-147.350462,8.491048
-151.171901,7.217295
-152.445714,7.981547
-155.757627,5.943541
-157.031440,6.707793
-161.617166,4.669787
-162.126691,4.415036
-166.202892,3.905535
-166.712417,3.650784
-171.552906,3.650784
-173.336244,1.612778
-175.374345,1.867529
-178.686258,1.103276
-180.979121,1.867529
-184.036272,0.593775
-185.310085,1.867529
-189.386286,0.848526
-191.169624,2.886532
-194.481537,1.867529
-195.245825,2.886532
-199.576788,2.886532
-201.360126,3.905535
-205.181565,5.179289
-206.200615,4.924538
-209.257766,5.434039
-211.805391,5.434039
-213.079204,7.217295
-216.391117,6.707793
-218.938743,8.491048
-222.760182,7.472045
-224.033994,9.000550
-227.091145,8.236298
-228.874483,7.981547
-232.186397,8.236298
-234.479260,9.000550
-236.772123,8.745799
-240.338799,8.236298
-242.886424,7.981547
-244.924525,6.962544
-246.707863,7.981547
-251.038826,5.943541
-252.822164,6.707793
-255.369790,4.924538
-257.407890,5.179289
-261.484091,3.905535
-263.267429,3.650784
-265.305530,2.631781
-268.617443,2.631781
-271.165069,2.122279
-273.967457,1.867529
-275.241270,1.867529
-278.298421,0.593775
-281.610334,1.867529
-283.648435,1.103276
-286.196060,2.122279
-289.507974,1.867529
-291.291312,2.886532
-294.857987,3.396033
-295.367513,3.905535
-300.208001,4.415036
-301.736577,4.924538
-303.519915,6.453042
-299.443714,4.415036
-297.405613,5.688790
-294.093700,3.141282
-291.036549,3.650784
-287.469873,2.377030
-284.922247,2.122279
-283.393672,1.103276
-278.043658,1.358027
-276.769845,1.358027
-272.948407,1.612778
-271.674594,2.122279
-267.088868,1.103276
-265.050767,2.377030
-262.248379,3.396033
-259.700753,4.669787
-256.134078,3.650784
-253.076927,5.943541
-251.803114,4.669787
-247.726913,7.217295
-245.688812,6.453042
-242.376899,7.726796
-240.593561,7.981547
-236.262598,8.491048
-234.224497,9.510051
-230.912584,7.981547
-229.129246,9.510051
-225.562570,7.981547
-222.505419,8.491048
-219.703031,7.472045
-217.919693,7.726796
-215.626830,6.962544
-210.531579,6.453042
-210.022053,5.943541
-206.200615,5.688790
-205.181565,5.179289
-200.086313,4.669787
-198.557738,4.415036
-196.264875,1.867529
-192.952962,2.886532
-189.895811,1.867529
-187.348185,1.358027
-185.564847,1.103276
-181.488646,1.612778
-179.960071,1.103276
-176.902920,1.103276
-175.629107,1.867529
-171.298144,2.377030
-168.240993,2.886532
-166.712417,2.886532
-163.655267,4.160285
-161.107641,3.905535
-157.540965,5.943541
-157.031440,5.434039
-152.955239,7.472045
-151.171901,6.453042
-146.840937,7.726796
-146.076650,7.726796
-142.509974,8.491048
-140.217111,9.255301
-137.414722,7.726796
-135.121859,9.510051
-132.828996,7.981547
-129.007558,9.510051
-127.478982,7.472045
-123.657544,8.491048
-122.383731,6.707793
-117.798005,7.726796
-117.288480,6.453042
-113.976566,6.453042
-110.919416,5.688790
-107.862265,4.924538
-106.333690,4.924538
-103.786064,3.141282
-100.728913,3.650784
-97.671762,2.122279
-95.888424,2.631781
-93.850324,1.358027
-89.774123,2.122279
-87.736022,1.358027
-85.952684,1.103276
-83.405059,1.358027
-78.819333,1.358027
-77.290757,2.886532
-75.507419,2.377030
-72.959794,4.160285
-69.393118,2.886532
-67.355017,4.924538
-64.807391,4.924538
-61.750241,5.943541
-59.457378,6.453042
-56.654989,6.962544
-55.635939,7.472045
-51.559738,8.236298
-49.521638,9.000550
-45.700199,8.236298
-44.681149,9.255301
-41.878761,9.000550
-38.821610,9.000550
-37.038272,7.981547
-34.235884,9.255301
-31.943021,7.726796
-27.357294,9.000550
-27.357294,6.707793
-23.281093,7.726796
-22.262043,6.707793
-17.166792,5.943541
-16.657267,5.179289
-13.600116,4.160285
-11.816778,4.415036
-7.740577,3.141282
-5.957239,3.650784
-3.919139,1.867529
-0.607225,2.377030
0.921350,0.848526
4.742789,1.867529
5.761839,0.848526
10.347565,2.122279
11.621378,1.867529
15.188054,1.612778
16.716629,2.122279
20.283305,2.886532
22.321406,3.396033
24.104744,4.160285
27.161894,5.434039
30.219045,4.415036
33.276196,6.198292
33.530958,5.434039
38.371447,7.472045
39.645260,6.707793
43.466699,8.745799
44.230986,7.981547
48.307187,8.491048
50.854813,8.745799
53.147676,8.491048
55.185776,9.000550
57.988165,9.000550
61.045315,9.510051
63.083416,7.472045
65.885804,8.745799
67.923905,6.962544
72.000106,7.726796
72.764393,5.943541
76.076307,6.453042
78.369170,5.434039
81.935846,4.160285
82.954896,3.905535
86.521572,2.631781
89.323960,3.905535
91.871586,1.612778
93.909686,2.631781
96.202549,0.848526
99.514463,2.377030
102.062088,1.358027
104.609714,2.122279
105.628764,0.848526
110.724016,1.867529
111.997828,2.122279
114.290691,2.631781
117.602605,3.141282
