0_x,0_y
1.766877,-5.010742
2.021638,-3.227487
3.550206,-4.501240
5.078774,-4.755991
6.352580,-4.501240
7.116864,-4.246490
8.900194,-3.991739
10.428761,-4.246490
10.174000,-4.501240
12.976374,-3.482237
13.231136,-3.736988
16.033510,-3.991739
15.778749,-3.736988
18.326362,-3.227487
18.581123,-2.717985
20.873975,-2.972736
20.619214,-1.189480
22.912065,-0.934730
23.421588,1.103276
25.459678,1.103276
26.478724,3.905535
27.497769,4.160285
29.026337,7.726796
30.554905,7.981547
31.573950,9.764802
32.338234,12.057559
35.140608,13.076562
34.885847,14.095565
37.688221,15.114568
37.178699,19.190580
39.981073,19.190580
40.490596,21.228586
42.019163,21.483337
41.764402,24.285595
45.331060,24.795097
45.840583,27.087854
47.114390,27.342605
48.133435,29.890112
49.662003,29.890112
50.681048,31.928118
52.209616,32.437620
52.719138,33.711374
53.992945,34.730377
56.540558,34.985127
56.285797,35.494629
58.833410,35.494629
59.088171,37.277884
61.381023,36.004130
61.635784,37.532635
63.673875,36.768383
64.692920,38.551638
65.966726,37.277884
66.985772,38.296887
67.750056,39.061140
70.297669,39.825392
70.042907,40.844395
72.590520,40.589644
72.080998,43.391902
75.392895,43.137152
74.883372,44.920407
77.685746,45.175158
77.430985,47.977416
79.469076,48.232167
80.488121,50.524924
81.761927,50.779674
82.780973,52.817681
84.564302,54.600936
85.838108,55.619939
86.347631,56.893693
89.150005,59.186449
89.150005,60.714954
91.697618,61.733957
91.442857,64.536215
93.480948,65.045717
93.990470,67.083723
95.773799,67.847975
97.047606,70.650234
98.321412,70.904984
99.595219,73.707243
100.869025,73.452492
101.888071,74.980997
102.907116,76.000000
105.454729,76.509501
104.945206,76.764252
107.492819,77.273753
107.492819,77.528504
110.549955,77.528504
110.040433,78.292756
112.588046,77.528504
113.352330,80.076012
114.371375,78.802258
115.645181,81.095015
117.173749,80.330763
118.192794,82.114018
119.466601,83.387772
120.740407,84.406775
121.249930,86.190030
123.797543,87.209033
124.561827,89.501790
125.835634,89.501790
126.090395,92.304048
128.892769,93.068300
128.892769,95.615808
130.421337,94.851556
132.204666,97.908565
133.223711,98.418066
134.497518,100.201322
135.771325,100.710823
136.790370,102.494079
137.554654,103.767832
140.102267,105.296337
140.102267,106.060589
142.904641,107.589094
142.395119,109.881851
144.942732,109.881851
144.942732,112.429358
146.471299,112.684109
147.745106,114.722115
149.018913,114.976866
150.292719,116.760121
147.490345,115.486367
147.490345,114.722115
145.197493,112.938860
144.433209,110.646103
141.376073,109.881851
141.376073,108.353346
138.573699,106.824841
138.573699,104.532085
135.516563,104.022583
135.516563,101.220325
133.478473,100.456073
131.949905,97.908565
130.166576,97.908565
128.892769,95.870559
128.383247,93.323051
125.326111,92.049297
124.561827,90.266042
123.797543,89.247039
122.523737,87.463784
119.721362,85.935279
119.721362,84.152024
116.918988,82.368769
116.918988,80.585513
113.861852,81.095015
113.607091,79.311759
112.078523,79.566510
110.549955,77.783255
109.021387,78.547507
107.238058,78.038006
106.983297,77.783255
104.180922,77.273753
104.180922,76.764252
101.378548,77.019003
101.888071,75.490498
98.576174,73.707243
98.830935,71.669237
95.773799,71.923987
95.264277,68.866978
93.735709,67.847975
92.461902,65.300468
90.933334,64.790966
90.423812,61.988708
88.385721,60.460203
86.092870,58.676948
86.347631,57.657945
83.545257,55.874690
83.545257,53.581933
80.997643,53.327182
80.233360,49.760671
78.704792,49.760671
77.430985,46.703662
75.647656,46.703662
74.883372,43.901404
73.100043,43.137152
72.080998,42.118149
70.807191,41.099146
69.278623,40.334893
68.769101,39.315890
66.221488,39.570641
65.966726,38.042136
63.419113,38.296887
63.419113,36.768383
60.871500,38.042136
59.852455,36.258881
58.578648,37.532635
57.304842,35.749380
56.031035,35.749380
54.502468,35.494629
53.483422,35.494629
51.445332,33.966124
51.190571,32.692371
48.897719,31.928118
48.897719,29.635361
46.095344,30.144863
45.840583,27.342605
43.547731,26.578352
43.038209,24.540346
41.764402,24.795097
40.490596,20.973836
38.962028,20.973836
37.433460,19.190580
36.669176,17.662076
34.885847,15.114568
34.121563,14.095565
31.828711,12.567061
32.083472,10.783805
29.026337,9.510051
28.262053,6.453042
26.478724,7.217295
26.478724,3.396033
23.676349,3.396033
23.166827,-0.170477
