0_x,0_y
2.195163,-10.870009
7.035652,-12.908015
11.876140,-14.181769
16.207104,-14.691271
21.047593,-15.455523
25.123794,-16.219775
30.473808,-16.219775
33.530958,-15.965024
39.135735,-15.200772
43.211936,-14.436520
49.326237,-13.927018
52.638151,-11.379511
57.478640,-11.889012
62.573891,-9.596256
66.904854,-10.105757
70.726293,-8.067751
75.821544,-8.322502
81.171558,-9.086754
84.228709,-9.086754
89.578723,-10.105757
93.654924,-10.870009
99.259700,-11.889012
102.316851,-12.653265
107.921627,-14.691271
112.762116,-14.436520
117.347842,-16.219775
121.169281,-15.200772
126.264532,-16.729277
131.359783,-14.946021
134.162172,-16.219775
139.766948,-13.927018
143.588386,-13.672268
150.212213,-12.398514
152.759839,-10.870009
158.109853,-10.105757
162.695579,-9.596256
167.281305,-9.086754
171.102743,-9.086754
176.197995,-9.086754
180.783721,-9.596256
184.605159,-10.615259
189.955173,-10.360508
193.776612,-12.908015
199.636151,-12.908015
202.693301,-15.710274
208.298078,-14.436520
211.864754,-15.965024
217.469530,-15.965024
221.545731,-16.474526
225.876695,-15.455523
230.717184,-14.946021
234.793385,-14.181769
239.379111,-12.908015
243.964837,-11.634262
249.060088,-10.360508
252.372002,-10.360508
258.231541,-8.067751
262.307742,-8.577252
267.657755,-8.067751
270.205381,-9.596256
276.064920,-8.577252
279.886359,-10.360508
285.745898,-10.870009
288.548286,-12.398514
294.153062,-13.417517
297.719738,-13.417517
303.834040,-15.965024
307.145953,-15.200772
311.986442,-16.984028
316.826930,-15.455523
320.903131,-16.474526
324.979333,-14.691271
330.074584,-14.691271
334.405547,-12.908015
338.736511,-11.889012
343.577000,-10.615259
347.653201,-9.851006
353.767502,-9.086754
355.805603,-9.341505
362.174667,-9.086754
365.741343,-8.832003
371.600882,-9.596256
373.893745,-10.360508
380.008046,-11.379511
384.339010,-11.889012
388.924736,-14.436520
393.000937,-13.417517
397.586663,-15.965024
402.681915,-15.200772
405.739066,-16.729277
411.598605,-15.200772
415.674806,-16.474526
421.279582,-14.436520
424.081970,-14.436520
429.941509,-13.162766
433.762948,-11.634262
439.112961,-11.124760
441.915350,-9.086754
447.520126,-10.105757
451.851090,-8.067751
455.927291,-9.086754
460.003492,-7.813000
464.843981,-10.105757
469.684469,-9.341505
473.505908,-11.634262
477.836871,-12.143763
482.677360,-13.417517
483.696410,-13.417517
476.053533,-13.927018
471.977332,-11.634262
465.098743,-10.360508
459.748729,-9.341505
453.889190,-8.832003
450.067752,-9.341505
443.698688,-8.577252
438.348674,-10.615259
432.998660,-10.360508
428.158171,-12.908015
423.062920,-12.908015
417.203381,-15.455523
411.853367,-15.455523
407.267641,-16.219775
402.681915,-16.219775
395.548563,-15.455523
391.727124,-15.200772
385.612823,-13.672268
382.046147,-12.398514
374.658033,-10.360508
371.346119,-10.360508
365.741343,-8.322502
