0_x,0_y
0.411825,-0.425228
3.978501,-1.698982
10.092803,-1.953733
13.149953,-1.189480
18.754730,-1.953733
22.066643,-1.189480
28.435707,-2.208483
31.747621,0.339024
36.842872,-0.425228
41.683361,2.377030
46.269087,1.867529
50.345288,4.669787
54.676251,3.396033
60.535790,5.179289
63.338179,4.160285
69.197718,5.434039
72.764393,2.886532
79.133458,3.396033
82.190608,2.377030
87.540622,0.848526
90.852536,0.084273
96.457312,-1.189480
100.278750,-1.444231
105.374002,-1.953733
110.214490,-1.953733
114.545454,-2.208483
118.621655,-1.953733
123.971669,-1.698982
128.557395,0.339024
133.143121,0.339024
136.964560,2.377030
141.295523,1.867529
147.155062,4.924538
150.212213,3.396033
155.562227,4.924538
159.638428,4.160285
165.752730,4.160285
168.555118,3.650784
173.905132,2.886532
177.726570,1.867529
183.840872,0.339024
186.388497,0.339024
192.248036,-1.698982
196.069475,-1.444231
201.164726,-2.463234
204.986165,-1.444231
210.081416,-2.717985
214.667142,-0.679979
218.998106,-1.444231
223.074307,1.103276
227.914795,0.339024
233.010047,1.612778
237.086248,2.886532
242.436262,3.905535
246.257700,4.160285
251.862476,4.924538
254.410102,4.924538
259.760116,4.415036
264.091080,3.650784
268.931568,2.377030
273.007769,2.122279
278.103021,0.848526
282.179222,-0.170477
286.764948,-1.444231
291.095911,-0.934730
296.191163,-2.972736
301.031651,-1.698982
305.107852,-2.972736
309.184053,-0.934730
314.279305,-1.953733
319.374556,0.339024
321.922182,0.084273
328.036483,2.631781
331.603159,2.122279
337.462698,4.415036
340.265086,3.905535
346.124625,4.924538
349.691301,4.669787
354.786553,4.160285
358.098466,3.905535
364.212767,2.886532
368.034206,2.122279
373.129457,0.084273
376.441371,0.593775
382.046147,-1.698982
386.631873,-0.679979
390.453312,-2.717985
396.312851,-1.698982
400.134289,-2.717985
404.974778,-1.189480
408.031929,-1.189480
414.146230,0.084273
417.712906,0.339024
422.808157,2.886532
425.865308,2.122279
431.979610,4.669787
435.546286,4.415036
441.151062,4.924538
443.953450,4.924538
449.812989,4.415036
454.143953,3.650784
457.710629,2.886532
462.041592,1.867529
467.136844,0.593775
471.467807,-0.425228
475.544008,-0.934730
479.874972,-1.698982
484.970223,-2.208483
479.620209,-1.444231
474.270195,-1.698982
469.684469,0.339024
462.551117,-0.170477
457.965391,2.377030
452.105852,3.396033
448.284414,3.905535
440.896299,4.415036
436.820098,5.688790
429.941509,4.160285
426.374833,3.396033
420.005769,2.122279
415.674806,1.103276
409.050979,0.339024
405.484303,-1.953733
399.115239,-1.189480
394.784275,-2.717985
389.179499,-1.698982
384.339010,-1.953733
378.988996,-0.170477
373.384220,-0.425228
368.543731,1.612778
363.448480,1.358027
357.843703,3.141282
352.748452,3.905535
348.162726,4.160285
343.067475,4.415036
338.226986,4.415036
331.857922,3.650784
328.546008,2.631781
322.176944,1.867529
317.845981,0.848526
311.731679,0.084273
308.674528,-1.189480
302.305464,-1.953733
298.484026,-2.717985
292.879249,-1.698982
288.038761,-2.463234
282.943509,-0.170477
277.848258,-0.679979
273.007769,1.612778
268.167281,1.103276
263.072029,4.160285
257.467253,3.141282
253.391052,5.179289
248.041038,4.669787
243.710074,4.415036
237.595773,3.905535
234.283859,2.631781
227.660033,1.358027
223.583832,0.848526
218.998106,-0.425228
214.157617,-1.444231
208.807603,-1.698982
204.221877,-1.953733
199.381388,-1.953733
194.795662,-2.208483
189.700411,-1.189480
184.605159,-0.934730
180.019433,1.612778
174.159894,0.593775
170.083693,3.396033
164.988442,2.886532
161.931291,4.924538
155.052702,3.905535
151.740789,5.434039
145.881250,3.396033
142.569336,3.396033
135.690747,2.377030
132.378834,1.612778
126.519295,0.339024
122.697856,-0.934730
117.602605,-1.444231
112.762116,-1.953733
107.666865,-1.953733
103.335901,-2.717985
98.240650,-1.189480
93.400161,-1.953733
89.069198,0.339024
84.738234,0.848526
79.388220,2.631781
74.802494,2.886532
70.216768,3.650784
64.611991,4.415036
60.281028,5.434039
54.931014,4.415036
51.873863,3.905535
45.759562,3.650784
41.683361,2.631781
36.588109,1.358027
32.766671,-0.425228
26.652369,0.084273
22.576168,-1.698982
18.245205,-1.698982
13.149953,-2.717985
8.564227,-1.698982
3.978501,-2.208483
-0.352463,-0.425228
-6.466764,-0.679979
-9.778678,1.867529
-15.128691,2.377030
-19.204892,2.631781
-25.319194,3.905535
-28.885870,4.415036
-34.490646,4.669787
-38.057322,4.415036
-44.426386,3.905535
-47.738300,3.396033
-53.343076,3.141282
-56.909752,0.593775
-62.514528,0.848526
-67.100255,-1.444231
-71.431218,-0.934730
-76.781232,-2.717985
-81.366958,-1.698982
-85.697922,-2.972736
-89.519360,-1.444231
-96.397950,-2.208483
-99.455100,0.084273
-105.569402,-0.170477
-109.136078,2.377030
-115.250379,2.631781
-118.817055,3.396033
-124.167069,3.905535
-127.733745,4.924538
-134.102809,4.924538
-137.414722,4.160285
-142.509974,3.905535
-147.350462,2.631781
-152.190951,1.867529
-156.521915,0.339024
-161.107641,0.084273
-165.948130,-1.698982
-170.788618,-1.189480
-174.864819,-2.717985
-180.469596,-1.698982
-185.819610,-2.463234
-188.621998,-0.679979
-194.226774,-1.444231
-198.048213,0.339024
-204.162514,1.358027
-206.964903,2.377030
-213.079204,3.396033
-216.645880,4.160285
-222.760182,5.434039
-225.562570,4.669787
-231.676871,4.415036
-234.988785,2.631781
-240.593561,4.160285
-244.924525,0.848526
-250.019776,1.867529
-254.605502,-1.189480
-258.681703,-0.425228
-263.267429,-2.208483
-267.853156,-1.189480
-272.948407,-2.208483
-277.279370,-2.208483
-281.610334,-1.698982
-286.196060,-0.679979
-292.055599,-0.170477
-295.622275,0.593775
-300.972289,2.377030
-304.284202,2.886532
-310.143741,3.905535
-313.200892,3.905535
-319.315194,5.179289
-322.627107,4.160285
-328.741409,4.669787
-332.308084,3.396033
-336.893811,2.631781
-341.479537,1.867529
-345.810500,0.339024
-350.396227,-0.934730
-355.236715,-0.934730
-360.586729,-2.717985
-363.389117,-1.444231
-369.758181,-2.972736
-373.070095,-1.444231
-378.929634,-1.953733
-381.477259,0.084273
-387.846324,0.339024
-391.412999,1.103276
-397.017776,2.122279
-400.074927,2.377030
-405.934466,3.905535
-409.755904,3.905535
-415.105918,5.179289
-418.163069,4.160285
-424.022608,4.924538
-428.608334,2.377030
-432.939297,2.631781
-437.015499,0.593775
-442.110750,0.848526
-446.696476,-1.189480
-451.027440,-0.679979
-456.632216,-3.227487
-460.198892,-1.444231
-465.548906,-2.717985
-468.606057,-1.444231
-474.465596,-0.934730
-478.032271,-0.425228
-483.637048,0.593775
-487.458486,1.358027
-492.298975,2.631781
-496.629939,3.396033
-501.470427,4.160285
-505.546628,4.415036
-510.641880,4.924538
-515.482368,3.905535
-519.558569,4.415036
-524.653821,2.377030
-528.984784,2.886532
-533.825273,0.339024
-537.901474,0.339024
-543.251488,-0.679979
-546.818164,-1.444231
-552.422940,-1.698982
-555.480091,-2.208483
-561.339630,-2.208483
-564.906306,-1.444231
-570.765845,-1.698982
-573.822996,-0.934730
-579.427772,1.612778
-583.503973,0.593775
-588.089699,2.886532
-592.930188,3.396033
-597.770677,4.924538
